OrderID,CustomerID,OrderDate,ProductID,Quantity,Discount,PaymentMethod,Status,Age,City,SignupDate,CustomerSegment,ProductName,Category,UnitPrice,Sales,OrderValue,Year,Month,MonthName,Quarter,YearMonth,OrderCount,CustomerType
500014,108853,2026-01-01,2001,2,5,CardToCard,Completed,44,Tehran,2025-08-14,New,Wireless Mouse,Electronics,18,34,34,2026,1,January,Q1,2026-01,4,Repeat Customer
500015,102106,2025-10-21,2017,1,0,Wallet,Completed,31,Tehran,2025-12-10,Regular,HDMI Cable,Accessories,11,11,11,2025,10,October,Q4,2025-10,6,Repeat Customer
500016,104175,2024-05-18,2002,3,0,Gateway,Completed,37,Rasht,2023-05-20,New,Mechanical Keyboard,Electronics,62,186,186,2024,5,May,Q2,2024-05,4,Repeat Customer
500017,101158,2024-03-02,2001,2,5,Gateway,Completed,58,Tehran,2024-09-29,VIP,Wireless Mouse,Electronics,18,34,34,2024,3,March,Q1,2024-03,10,Repeat Customer
500018,109942,2024-07-13,2013,2,0,Gateway,Completed,48,Rasht,2025-09-13,New,Notebook,Stationery,7,14,14,2024,7,July,Q3,2024-07,7,Repeat Customer
500019,104270,2026-01-06,2013,1,0,CardToCard,Completed,42,Ahvaz,2023-10-20,Regular,Notebook,Stationery,7,7,7,2026,1,January,Q1,2026-01,13,Repeat Customer
500020,109355,2025-03-21,2017,2,20,Cash,Completed,37,Rasht,2024-05-03,New,HDMI Cable,Accessories,11,18,18,2025,3,March,Q1,2025-03,8,Repeat Customer
500021,105138,2025-11-28,2017,2,0,Gateway,Completed,49,Karaj,2023-05-27,Regular,HDMI Cable,Accessories,11,22,22,2025,11,November,Q4,2025-11,8,Repeat Customer
500022,105368,2024-11-15,2013,2,0,Gateway,Completed,45,Isfahan,2025-09-04,Regular,Notebook,Stationery,7,14,14,2024,11,November,Q4,2024-11,8,Repeat Customer
500023,108138,2025-05-25,2006,1,20,Cash,Completed,61,Tehran,2025-08-30,New,Webcam,Electronics,48,38,38,2025,5,May,Q2,2025-05,3,Repeat Customer
500024,107845,2025-05-28,2013,3,0,Gateway,Completed,26,Tehran,2024-04-23,Regular,Notebook,Stationery,7,21,21,2025,5,May,Q2,2025-05,6,Repeat Customer
500025,109039,2025-06-25,2013,1,15,Gateway,Completed,65,Ahvaz,2025-01-01,New,Notebook,Stationery,7,6,6,2025,6,June,Q2,2025-06,5,Repeat Customer
500026,107998,2025-02-10,2010,2,5,CardToCard,Completed,34,Mashhad,2024-12-18,New,Fitness Band,Wearables,55,104,104,2025,2,February,Q1,2025-02,6,Repeat Customer
500027,108982,2024-07-25,2006,2,10,Cash,Completed,43,Tehran,2024-05-08,Regular,Webcam,Electronics,48,86,86,2024,7,July,Q3,2024-07,9,Repeat Customer
500028,103563,2025-01-05,2002,1,0,Gateway,Completed,38,Ahvaz,2023-04-11,Regular,Mechanical Keyboard,Electronics,62,62,62,2025,1,January,Q1,2025-01,13,Repeat Customer
500029,100210,2026-05-29,2002,1,10,Wallet,Completed,55,Tehran,2024-04-13,Regular,Mechanical Keyboard,Electronics,62,56,56,2026,5,May,Q2,2026-05,8,Repeat Customer
500030,104615,2024-08-23,2019,2,5,CardToCard,Completed,44,Tehran,2024-04-06,VIP,Tablet,Electronics,260,494,494,2024,8,August,Q3,2024-08,6,Repeat Customer
500031,101683,2025-09-18,2011,2,0,Gateway,Completed,19,Shiraz,2025-04-27,Regular,Desk Lamp,Home Office,32,64,64,2025,9,September,Q3,2025-09,7,Repeat Customer
500032,109032,2026-04-21,2008,2,0,Wallet,Completed,32,Karaj,2023-10-02,Regular,Phone Case,Accessories,14,28,28,2026,4,April,Q2,2026-04,5,Repeat Customer
500033,107365,2025-05-04,2007,3,5,Gateway,Completed,65,Kerman,2025-12-15,Regular,Headphones,Electronics,75,214,214,2025,5,May,Q2,2025-05,3,Repeat Customer
500034,105082,2025-02-26,2004,2,5,Gateway,Completed,42,Tehran,2025-11-02,New,Power Bank,Electronics,35,66,66,2025,2,February,Q1,2025-02,7,Repeat Customer
500035,106013,2024-04-14,2008,5,10,Wallet,Completed,49,Tabriz,2024-07-05,Regular,Phone Case,Accessories,14,63,63,2024,4,April,Q2,2024-04,3,Repeat Customer
500037,107822,2026-03-10,2013,1,0,Gateway,Completed,42,Tehran,2023-03-30,VIP,Notebook,Stationery,7,7,7,2026,3,March,Q1,2026-03,3,Repeat Customer
500038,101279,2026-06-06,2001,4,15,Gateway,Completed,18,Karaj,2023-06-04,Regular,Wireless Mouse,Electronics,18,61,61,2026,6,June,Q2,2026-06,5,Repeat Customer
500039,107601,2024-06-23,2013,5,5,Gateway,Returned,24,Karaj,2023-01-29,New,Notebook,Stationery,7,33,33,2024,6,June,Q2,2024-06,4,Repeat Customer
500040,104265,2026-03-21,2011,4,10,Gateway,Cancelled,46,Tehran,2025-07-30,VIP,Desk Lamp,Home Office,32,115,115,2026,3,March,Q1,2026-03,5,Repeat Customer
500041,104458,2024-11-16,2010,2,30,Gateway,Completed,19,Tehran,2025-10-27,Regular,Fitness Band,Wearables,55,77,77,2024,11,November,Q4,2024-11,3,Repeat Customer
500042,104499,2025-06-19,2006,1,10,Gateway,Completed,29,Kerman,2023-02-17,Regular,Webcam,Electronics,48,43,43,2025,6,June,Q2,2025-06,3,Repeat Customer
500043,109584,2024-07-12,2020,1,0,Gateway,Completed,18,Tabriz,2024-12-19,Regular,Gaming Controller,Gaming,68,68,68,2024,7,July,Q3,2024-07,4,Repeat Customer
500044,104936,2024-08-02,2005,1,0,CardToCard,Completed,46,Mashhad,2024-02-02,Regular,Laptop Stand,Accessories,28,28,28,2024,8,August,Q3,2024-08,2,Repeat Customer
500045,100241,2025-06-18,2017,2,5,Gateway,Completed,24,Tehran,2023-12-20,Regular,HDMI Cable,Accessories,11,21,21,2025,6,June,Q2,2025-06,5,Repeat Customer
500046,107541,2025-02-22,2002,1,5,CardToCard,Completed,49,Mashhad,2024-06-02,Regular,Mechanical Keyboard,Electronics,62,59,59,2025,2,February,Q1,2025-02,9,Repeat Customer
500047,109317,2026-05-16,2003,3,0,CardToCard,Completed,65,Tabriz,2023-12-02,Regular,USB-C Cable,Accessories,9,27,27,2026,5,May,Q2,2026-05,7,Repeat Customer
500048,109778,2024-08-16,2010,2,0,Cash,Completed,36,Tehran,2023-11-13,New,Fitness Band,Wearables,55,110,110,2024,8,August,Q3,2024-08,5,Repeat Customer
500049,102735,2026-01-28,2003,2,0,CardToCard,Completed,39,Qom,2025-01-03,VIP,USB-C Cable,Accessories,9,18,18,2026,1,January,Q1,2026-01,4,Repeat Customer
500050,103894,2025-02-01,2017,1,5,Gateway,Completed,27,Tehran,2025-09-25,Regular,HDMI Cable,Accessories,11,10,10,2025,2,February,Q1,2025-02,7,Repeat Customer
500051,102673,2024-04-26,2011,1,0,Gateway,Completed,58,Rasht,2025-07-26,New,Desk Lamp,Home Office,32,32,32,2024,4,April,Q2,2024-04,5,Repeat Customer
500052,108100,2024-07-25,2013,3,10,Wallet,Completed,52,Mashhad,2024-09-17,VIP,Notebook,Stationery,7,19,19,2024,7,July,Q3,2024-07,8,Repeat Customer
500053,106454,2025-10-14,2013,1,0,Wallet,Completed,50,Tehran,2023-02-26,New,Notebook,Stationery,7,7,7,2025,10,October,Q4,2025-10,6,Repeat Customer
500054,106300,2025-12-15,2011,1,20,Wallet,Returned,26,Tabriz,2025-08-07,New,Desk Lamp,Home Office,32,26,26,2025,12,December,Q4,2025-12,3,Repeat Customer
500055,109861,2024-02-04,2011,2,15,Cash,Completed,43,Tehran,2024-11-07,New,Desk Lamp,Home Office,32,54,54,2024,2,February,Q1,2024-02,5,Repeat Customer
500056,108499,2024-12-20,2018,2,0,Wallet,Completed,46,Tehran,2023-01-17,New,Microphone,Electronics,85,170,170,2024,12,December,Q4,2024-12,2,Repeat Customer
500057,101360,2025-03-02,2011,1,0,Gateway,Completed,35,Isfahan,2025-03-13,New,Desk Lamp,Home Office,32,32,32,2025,3,March,Q1,2025-03,3,Repeat Customer
500058,104257,2025-06-15,2010,2,0,Gateway,Completed,33,Tehran,2024-06-05,New,Fitness Band,Wearables,55,110,110,2025,6,June,Q2,2025-06,5,Repeat Customer
500059,109227,2025-07-16,2003,1,0,Wallet,Completed,52,Tehran,2024-07-08,New,USB-C Cable,Accessories,9,9,9,2025,7,July,Q3,2025-07,7,Repeat Customer
500060,104648,2025-12-18,2009,2,15,Wallet,Completed,21,Isfahan,2023-04-25,Regular,Smart Watch,Wearables,120,204,204,2025,12,December,Q4,2025-12,11,Repeat Customer
500061,103566,2024-08-24,2011,2,0,Cash,Completed,30,Mashhad,2023-01-04,New,Desk Lamp,Home Office,32,64,64,2024,8,August,Q3,2024-08,8,Repeat Customer
500062,103020,2024-04-06,2007,3,5,Gateway,Completed,53,Tabriz,2023-05-07,New,Headphones,Electronics,75,214,214,2024,4,April,Q2,2024-04,6,Repeat Customer
500063,106946,2024-06-10,2011,1,0,Gateway,Completed,44,Tabriz,2025-07-19,Regular,Desk Lamp,Home Office,32,32,32,2024,6,June,Q2,2024-06,5,Repeat Customer
500064,107003,2026-04-11,2015,2,10,CardToCard,Completed,64,Tehran,2023-06-14,Regular,Bluetooth Speaker,Electronics,58,104,104,2026,4,April,Q2,2026-04,6,Repeat Customer
500065,104518,2025-04-17,2014,1,0,CardToCard,Completed,20,Mashhad,2024-01-11,Regular,Backpack,Accessories,42,42,42,2025,4,April,Q2,2025-04,8,Repeat Customer
500066,102799,2024-07-08,2017,1,5,Gateway,Completed,51,Mashhad,2023-12-30,New,HDMI Cable,Accessories,11,10,10,2024,7,July,Q3,2024-07,6,Repeat Customer
500067,100378,2025-11-09,2013,1,5,Gateway,Completed,53,Karaj,2023-08-31,Regular,Notebook,Stationery,7,7,7,2025,11,November,Q4,2025-11,6,Repeat Customer
500068,104093,2025-05-22,2002,1,5,Wallet,Cancelled,35,Tehran,2025-10-25,Regular,Mechanical Keyboard,Electronics,62,59,59,2025,5,May,Q2,2025-05,10,Repeat Customer
500069,103550,2024-11-13,2011,4,10,Gateway,Returned,48,Tabriz,2024-06-22,New,Desk Lamp,Home Office,32,115,115,2024,11,November,Q4,2024-11,5,Repeat Customer
500070,105158,2024-01-16,2003,3,0,Gateway,Completed,23,Qom,2024-11-06,New,USB-C Cable,Accessories,9,27,27,2024,1,January,Q1,2024-01,7,Repeat Customer
500071,100053,2025-11-07,2008,1,10,Wallet,Completed,35,Shiraz,2024-02-27,Regular,Phone Case,Accessories,14,13,13,2025,11,November,Q4,2025-11,11,Repeat Customer
500072,108212,2025-09-12,2017,1,20,CardToCard,Completed,22,Mashhad,2023-05-11,New,HDMI Cable,Accessories,11,9,9,2025,9,September,Q3,2025-09,7,Repeat Customer
500073,102545,2024-08-14,2002,2,5,Gateway,Completed,56,Shiraz,2023-02-22,New,Mechanical Keyboard,Electronics,62,118,118,2024,8,August,Q3,2024-08,4,Repeat Customer
500074,106487,2024-08-17,2014,5,10,Gateway,Completed,55,Kerman,2025-06-11,Regular,Backpack,Accessories,42,189,189,2024,8,August,Q3,2024-08,7,Repeat Customer
500075,104951,2024-08-22,2007,1,5,Wallet,Completed,33,Tehran,2025-01-18,New,Headphones,Electronics,75,71,71,2024,8,August,Q3,2024-08,7,Repeat Customer
500076,105369,2025-08-02,2014,3,5,Gateway,Completed,49,Isfahan,2024-12-10,Regular,Backpack,Accessories,42,120,120,2025,8,August,Q3,2025-08,6,Repeat Customer
500077,108987,2024-09-11,2003,2,30,Gateway,Completed,53,Tehran,2025-06-06,Regular,USB-C Cable,Accessories,9,13,13,2024,9,September,Q3,2024-09,8,Repeat Customer
500078,100771,2024-09-25,2002,2,30,CardToCard,Completed,49,Qom,2025-01-20,New,Mechanical Keyboard,Electronics,62,87,87,2024,9,September,Q3,2024-09,9,Repeat Customer
500079,103388,2024-11-21,2015,2,20,Wallet,Completed,53,Shiraz,2023-06-13,New,Bluetooth Speaker,Electronics,58,93,93,2024,11,November,Q4,2024-11,3,Repeat Customer
500080,100685,2026-06-05,2013,1,0,Gateway,Cancelled,26,Isfahan,2025-04-22,New,Notebook,Stationery,7,7,7,2026,6,June,Q2,2026-06,8,Repeat Customer
500081,107845,2025-02-01,2018,2,0,Gateway,Completed,26,Tehran,2024-04-23,Regular,Microphone,Electronics,85,170,170,2025,2,February,Q1,2025-02,6,Repeat Customer
500082,103580,2024-11-22,2007,3,5,CardToCard,Completed,21,Tehran,2023-09-24,Regular,Headphones,Electronics,75,214,214,2024,11,November,Q4,2024-11,4,Repeat Customer
500083,104496,2025-02-10,2008,1,0,Wallet,Completed,48,Tehran,2023-06-02,Regular,Phone Case,Accessories,14,14,14,2025,2,February,Q1,2025-02,7,Repeat Customer
500084,100243,2025-09-13,2013,3,5,CardToCard,Completed,22,Mashhad,2023-05-21,New,Notebook,Stationery,7,20,20,2025,9,September,Q3,2025-09,6,Repeat Customer
500085,106025,2026-02-03,2003,1,0,Gateway,Completed,41,Tehran,2023-02-23,New,USB-C Cable,Accessories,9,9,9,2026,2,February,Q1,2026-02,4,Repeat Customer
500086,102251,2026-06-19,2001,1,0,Gateway,Completed,42,Shiraz,2025-05-24,Regular,Wireless Mouse,Electronics,18,18,18,2026,6,June,Q2,2026-06,7,Repeat Customer
500087,100613,2025-02-23,2015,2,0,Gateway,Completed,55,Mashhad,2024-07-24,New,Bluetooth Speaker,Electronics,58,116,116,2025,2,February,Q1,2025-02,4,Repeat Customer
500088,109509,2025-02-01,2008,3,5,CardToCard,Completed,57,Tabriz,2025-11-11,Regular,Phone Case,Accessories,14,40,40,2025,2,February,Q1,2025-02,5,Repeat Customer
500089,105172,2024-10-12,2019,2,5,Gateway,Completed,39,Mashhad,2025-12-28,Regular,Tablet,Electronics,260,494,494,2024,10,October,Q4,2024-10,8,Repeat Customer
500090,102165,2025-11-04,2003,4,10,Wallet,Completed,63,Rasht,2024-01-23,New,USB-C Cable,Accessories,9,32,32,2025,11,November,Q4,2025-11,6,Repeat Customer
500091,103486,2025-07-20,2003,1,10,Cash,Cancelled,19,Ahvaz,2025-08-29,Regular,USB-C Cable,Accessories,9,8,8,2025,7,July,Q3,2025-07,6,Repeat Customer
500092,107995,2024-11-09,2001,5,5,CardToCard,Completed,58,Qom,2025-02-06,Regular,Wireless Mouse,Electronics,18,86,86,2024,11,November,Q4,2024-11,4,Repeat Customer
500094,106590,2024-06-26,2015,2,30,Gateway,Completed,41,Tehran,2025-12-06,Regular,Bluetooth Speaker,Electronics,58,81,81,2024,6,June,Q2,2024-06,7,Repeat Customer
500095,102948,2025-08-22,2020,1,15,Gateway,Completed,41,Isfahan,2025-11-03,Regular,Gaming Controller,Gaming,68,58,58,2025,8,August,Q3,2025-08,11,Repeat Customer
500096,101255,2024-08-05,2018,1,0,CardToCard,Completed,49,Rasht,2025-04-30,Regular,Microphone,Electronics,85,85,85,2024,8,August,Q3,2024-08,11,Repeat Customer
500097,100083,2024-10-29,2004,1,30,Gateway,Completed,25,Isfahan,2023-12-19,Regular,Power Bank,Electronics,35,24,24,2024,10,October,Q4,2024-10,8,Repeat Customer
500098,102041,2024-02-29,2017,3,0,Gateway,Cancelled,31,Tabriz,2025-03-28,Regular,HDMI Cable,Accessories,11,33,33,2024,2,February,Q1,2024-02,7,Repeat Customer
500099,109236,2024-07-09,2014,4,10,CardToCard,Completed,44,Isfahan,2024-03-24,New,Backpack,Accessories,42,151,151,2024,7,July,Q3,2024-07,2,Repeat Customer
500100,100300,2024-06-17,2005,3,0,CardToCard,Completed,19,Tehran,2025-11-02,New,Laptop Stand,Accessories,28,84,84,2024,6,June,Q2,2024-06,8,Repeat Customer
500101,100163,2025-09-27,2008,2,15,Gateway,Completed,37,Tehran,2024-08-22,Regular,Phone Case,Accessories,14,24,24,2025,9,September,Q3,2025-09,3,Repeat Customer
500102,100303,2025-08-23,2010,1,0,Gateway,Completed,18,Karaj,2023-10-25,Regular,Fitness Band,Wearables,55,55,55,2025,8,August,Q3,2025-08,8,Repeat Customer
500103,107340,2025-04-10,2005,1,5,Gateway,Completed,45,Tabriz,2024-08-26,New,Laptop Stand,Accessories,28,27,27,2025,4,April,Q2,2025-04,10,Repeat Customer
500104,108874,2024-11-30,2005,1,10,CardToCard,Completed,57,Rasht,2024-12-04,Regular,Laptop Stand,Accessories,28,25,25,2024,11,November,Q4,2024-11,3,Repeat Customer
500105,104487,2026-02-10,2015,1,15,Gateway,Completed,44,Tabriz,2023-04-02,Regular,Bluetooth Speaker,Electronics,58,49,49,2026,2,February,Q1,2026-02,6,Repeat Customer
500106,109797,2026-02-03,2007,3,0,Gateway,Completed,47,Isfahan,2024-11-02,Regular,Headphones,Electronics,75,225,225,2026,2,February,Q1,2026-02,2,Repeat Customer
500107,103568,2025-06-04,2007,3,10,Wallet,Completed,25,Isfahan,2023-06-25,Regular,Headphones,Electronics,75,202,202,2025,6,June,Q2,2025-06,4,Repeat Customer
500108,109290,2025-07-22,2018,4,0,Wallet,Completed,31,Mashhad,2023-02-09,Regular,Microphone,Electronics,85,340,340,2025,7,July,Q3,2025-07,5,Repeat Customer
500109,104967,2025-11-19,2017,2,5,Gateway,Completed,28,Mashhad,2023-08-15,New,HDMI Cable,Accessories,11,21,21,2025,11,November,Q4,2025-11,7,Repeat Customer
500110,103549,2025-09-16,2003,1,15,Gateway,Cancelled,41,Karaj,2024-02-02,Regular,USB-C Cable,Accessories,9,8,8,2025,9,September,Q3,2025-09,4,Repeat Customer
500111,108820,2024-07-13,2003,3,0,Gateway,Completed,25,Qom,2025-08-05,VIP,USB-C Cable,Accessories,9,27,27,2024,7,July,Q3,2024-07,8,Repeat Customer
500112,100737,2025-03-10,2005,2,10,Gateway,Completed,53,Tabriz,2025-08-03,Regular,Laptop Stand,Accessories,28,50,50,2025,3,March,Q1,2025-03,5,Repeat Customer
500113,101140,2024-05-11,2013,1,15,Gateway,Cancelled,43,Isfahan,2023-01-04,VIP,Notebook,Stationery,7,6,6,2024,5,May,Q2,2024-05,3,Repeat Customer
500114,107642,2025-11-30,2007,3,0,Gateway,Completed,54,Shiraz,2023-10-28,Regular,Headphones,Electronics,75,225,225,2025,11,November,Q4,2025-11,3,Repeat Customer
500115,109188,2025-07-18,2008,2,0,Gateway,Completed,27,Isfahan,2023-11-11,New,Phone Case,Accessories,14,28,28,2025,7,July,Q3,2025-07,4,Repeat Customer
500116,102851,2026-06-04,2001,1,5,Gateway,Completed,27,Shiraz,2024-07-27,Regular,Wireless Mouse,Electronics,18,17,17,2026,6,June,Q2,2026-06,6,Repeat Customer
500117,106117,2024-04-28,2008,2,15,Wallet,Returned,58,Tehran,2024-08-27,Regular,Phone Case,Accessories,14,24,24,2024,4,April,Q2,2024-04,3,Repeat Customer
500118,101946,2025-03-16,2005,1,5,Gateway,Completed,41,Karaj,2025-02-06,Regular,Laptop Stand,Accessories,28,27,27,2025,3,March,Q1,2025-03,4,Repeat Customer
500119,101651,2025-09-17,2007,3,0,Gateway,Completed,41,Tabriz,2024-05-19,Regular,Headphones,Electronics,75,225,225,2025,9,September,Q3,2025-09,4,Repeat Customer
500120,104593,2026-01-19,2001,5,0,Gateway,Completed,21,Rasht,2023-01-21,Regular,Wireless Mouse,Electronics,18,90,90,2026,1,January,Q1,2026-01,6,Repeat Customer
500121,109488,2026-01-07,2008,3,0,CardToCard,Completed,31,Qom,2023-08-15,VIP,Phone Case,Accessories,14,42,42,2026,1,January,Q1,2026-01,9,Repeat Customer
500122,100808,2024-06-23,2012,2,15,Gateway,Completed,23,Ahvaz,2025-01-22,VIP,Office Chair,Home Office,180,306,306,2024,6,June,Q2,2024-06,3,Repeat Customer
500123,108989,2026-06-08,2008,1,15,Gateway,Completed,18,Ahvaz,2025-06-24,New,Phone Case,Accessories,14,12,12,2026,6,June,Q2,2026-06,8,Repeat Customer
500124,100247,2026-06-07,2002,1,30,CardToCard,Completed,54,Isfahan,2023-10-30,New,Mechanical Keyboard,Electronics,62,43,43,2026,6,June,Q2,2026-06,5,Repeat Customer
500125,109971,2026-05-22,2007,4,30,Gateway,Completed,27,Karaj,2025-03-18,Regular,Headphones,Electronics,75,210,210,2026,5,May,Q2,2026-05,7,Repeat Customer
500126,105041,2025-06-14,2005,4,5,Cash,Completed,34,Tehran,2025-08-14,New,Laptop Stand,Accessories,28,106,106,2025,6,June,Q2,2025-06,4,Repeat Customer
500127,108080,2025-12-19,2007,2,0,CardToCard,Completed,57,Kerman,2025-04-23,VIP,Headphones,Electronics,75,150,150,2025,12,December,Q4,2025-12,5,Repeat Customer
500128,106290,2024-03-06,2014,1,5,CardToCard,Completed,57,Tehran,2025-05-15,New,Backpack,Accessories,42,40,40,2024,3,March,Q1,2024-03,9,Repeat Customer
500129,108436,2024-08-08,2019,1,0,Gateway,Completed,21,Isfahan,2025-02-02,Regular,Tablet,Electronics,260,260,260,2024,8,August,Q3,2024-08,4,Repeat Customer
500130,106102,2024-03-20,2012,1,30,Gateway,Completed,60,Tehran,2025-10-14,Regular,Office Chair,Home Office,180,126,126,2024,3,March,Q1,2024-03,4,Repeat Customer
500131,101553,2025-03-12,2007,1,5,Wallet,Completed,43,Ahvaz,2023-07-25,VIP,Headphones,Electronics,75,71,71,2025,3,March,Q1,2025-03,4,Repeat Customer
500132,100253,2026-05-17,2008,1,5,Gateway,Completed,27,Tehran,2024-06-28,New,Phone Case,Accessories,14,13,13,2026,5,May,Q2,2026-05,5,Repeat Customer
500133,108318,2025-07-14,2017,2,10,Gateway,Completed,39,Mashhad,2023-05-08,Regular,HDMI Cable,Accessories,11,20,20,2025,7,July,Q3,2025-07,7,Repeat Customer
500134,100871,2025-02-02,2017,1,0,CardToCard,Completed,39,Tabriz,2023-04-23,New,HDMI Cable,Accessories,11,11,11,2025,2,February,Q1,2025-02,6,Repeat Customer
500135,107244,2025-11-16,2017,2,30,CardToCard,Completed,31,Qom,2025-06-11,New,HDMI Cable,Accessories,11,15,15,2025,11,November,Q4,2025-11,7,Repeat Customer
500136,101858,2025-04-20,2018,2,0,Gateway,Completed,41,Mashhad,2024-02-21,New,Microphone,Electronics,85,170,170,2025,4,April,Q2,2025-04,4,Repeat Customer
500137,106607,2025-01-30,2017,3,5,CardToCard,Completed,59,Tabriz,2024-12-03,New,HDMI Cable,Accessories,11,31,31,2025,1,January,Q1,2025-01,15,Repeat Customer
500138,103340,2025-06-27,2007,1,0,Gateway,Completed,59,Karaj,2024-08-01,Regular,Headphones,Electronics,75,75,75,2025,6,June,Q2,2025-06,3,Repeat Customer
500139,108835,2025-03-18,2011,4,5,CardToCard,Completed,63,Karaj,2025-10-25,Regular,Desk Lamp,Home Office,32,122,122,2025,3,March,Q1,2025-03,2,Repeat Customer
500140,107286,2025-07-08,2008,1,20,Wallet,Completed,41,Tehran,2025-02-10,Regular,Phone Case,Accessories,14,11,11,2025,7,July,Q3,2025-07,6,Repeat Customer
500141,104773,2025-11-24,2010,2,5,Gateway,Completed,26,Karaj,2023-06-09,New,Fitness Band,Wearables,55,104,104,2025,11,November,Q4,2025-11,9,Repeat Customer
500142,100252,2025-02-03,2010,1,10,CardToCard,Completed,41,Tehran,2024-09-12,VIP,Fitness Band,Wearables,55,50,50,2025,2,February,Q1,2025-02,3,Repeat Customer
500143,103103,2024-12-24,2016,2,10,Gateway,Completed,18,Karaj,2023-12-09,Regular,Monitor,Electronics,21,38,38,2024,12,December,Q4,2024-12,5,Repeat Customer
500145,107442,2026-03-01,2008,2,15,CardToCard,Completed,48,Tabriz,2025-10-24,Regular,Phone Case,Accessories,14,24,24,2026,3,March,Q1,2026-03,3,Repeat Customer
500146,107442,2024-12-31,2009,4,0,Cash,Completed,48,Tabriz,2025-10-24,Regular,Smart Watch,Wearables,120,480,480,2024,12,December,Q4,2024-12,3,Repeat Customer
500147,104242,2026-01-02,2010,4,0,Wallet,Completed,31,Isfahan,2024-01-16,New,Fitness Band,Wearables,55,220,220,2026,1,January,Q1,2026-01,7,Repeat Customer
500148,103890,2025-06-17,2013,3,10,Wallet,Completed,57,Tehran,2025-10-26,New,Notebook,Stationery,7,19,19,2025,6,June,Q2,2025-06,5,Repeat Customer
500149,105747,2024-01-11,2009,2,30,CardToCard,Completed,38,Isfahan,2024-11-16,Regular,Smart Watch,Wearables,120,168,168,2024,1,January,Q1,2024-01,5,Repeat Customer
500150,104546,2025-02-15,2014,1,5,CardToCard,Completed,54,Tehran,2024-04-23,Regular,Backpack,Accessories,42,40,40,2025,2,February,Q1,2025-02,5,Repeat Customer
500151,104785,2024-06-30,2006,4,5,Gateway,Completed,58,Shiraz,2024-12-01,Regular,Webcam,Electronics,48,182,182,2024,6,June,Q2,2024-06,4,Repeat Customer
500152,101032,2024-05-10,2012,1,0,Wallet,Completed,26,Isfahan,2023-10-22,Regular,Office Chair,Home Office,180,180,180,2024,5,May,Q2,2024-05,5,Repeat Customer
500153,108727,2024-07-21,2018,1,0,CardToCard,Completed,60,Isfahan,2025-04-26,New,Microphone,Electronics,85,85,85,2024,7,July,Q3,2024-07,5,Repeat Customer
500154,102971,2025-09-07,2007,1,15,Wallet,Completed,47,Tabriz,2024-02-13,New,Headphones,Electronics,75,64,64,2025,9,September,Q3,2025-09,6,Repeat Customer
